"ID","MK-ID","community","count","inCore","info","betweenness"
"Haustein S, 2011, J INFORMETR","WOS:000291032500013",11,8,True,"WOS:000291032500013, Haustein Stefanie, Applying social bookmarking data to evaluate journal usage, JOURNAL OF INFORMETRICS, 5, 446",0.012
"Strotmann A, 2012, J AM SOC INF SCI TEC","WOS:000307730000009",1,7,True,"WOS:000307730000009, Strotmann Andreas, Author name disambiguation: What difference does it make in author-based citation analysis?, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 1820",0.004
"Gonzalez-Albo B, 2011, J INFORMETR","WOS:000291032500005",2,5,True,"WOS:000291032500005, Gonzalez-Albo Borja, Articles vs. proceedings papers: Do they differ in research relevance and impact? A case study in the Library and Information Science field, JOURNAL OF INFORMETRICS, 5, 369",0.0
"Kenna R, 2011, SCIENTOMETRICS","WOS:000286496200019",5,2,True,"WOS:000286496200019, Kenna R., Critical mass and the dependency of research quality on group size, SCIENTOMETRICS, 86, 527",0.0
"Rafols I, 2010, J AM SOC INF SCI TEC","WOS:000281011400011",4,35,True,"WOS:000281011400011, Rafols Ismael, Science Overlay Maps: A New Tool for Research Policy and Library Management, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 61, 1871",0.007
"Vela B, 2012, SCIENTOMETRICS","WOS:000310964500006",0,3,True,"WOS:000310964500006, Vela Belen, Participation of women in software engineering publications, SCIENTOMETRICS, 93, 661",0.0
"Yan Xb, 2013, J INFORMETR","WOS:000313121300027",7,4,True,"WOS:000313121300027, Yan Xiangbin, C-index: A weighted network node centrality measure for collaboration competence, JOURNAL OF INFORMETRICS, 7, 223",0.0
"Guerrero-Bote Vp, 2012, J INFORMETR","WOS:000308581700027",1,11,True,"WOS:000308581700027, Guerrero-Bote Vicente P., A further step forward in measuring journals' scientific prestige: The SJR2 indicator, JOURNAL OF INFORMETRICS, 6, 674",0.002
"Walters Gd, 2011, J AM SOC INF SCI TEC","WOS:000293064100014",9,2,True,"WOS:000293064100014, Walters Glenn D., The Citation Life Cycle of Articles Published in 13 American Psychological Association Journals: A 25-Year Longitudinal Analysis, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 62, 1629",0.0
"Lu K, 2012, J AM SOC INF SCI TEC","WOS:000308888400007",7,3,True,"WOS:000308888400007, Lu Kun, Measuring author research relatedness: A comparison of word-based topic-based and author cocitation approaches, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 1973",0.0
"Waaijer Cjf, 2011, SCIENTOMETRICS","WOS:000284888600008",4,3,True,"WOS:000284888600008, Waaijer Cathelijn J. F., On the map: Nature and Science editorials, SCIENTOMETRICS, 86, 99",0.0
"Abramo G, 2012, J AM SOC INF SCI TEC","WOS:000310550000008",9,1,True,"WOS:000310550000008, Abramo Giovanni, Identifying interdisciplinarity through the disciplinary classification of coauthors of scientific publications, JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY, 63, 2206",0.0
